,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
650,2020-07-21,149.6000061,151.6699982,149.5,149.7400055,140.4032135,5575900,5575900,-9.19679,-6.148,147.19107,"July 21, 20",-0.06148
651,2020-07-20,150.2299957,150.3200073,148.4299927,149.6000061,140.2719116,6191500,6191500,-9.95808,-6.629,146.34064,"July 20, 20",-0.06629
652,2020-07-17,150.0,150.5800018,148.6900024,149.3500061,140.0375366,7441100,7441100,-9.96246,-6.642,146.43585,"July 17, 20",-0.06642
653,2020-07-16,148.6799927,149.3399963,146.6799927,149.25,139.9437561,9304700,9304700,-8.73624,-5.876,145.32125,"July 16, 20",-0.05876
654,2020-07-15,149.7299957,150.2100067,148.2299957,148.2599945,139.0154724,8512800,8512800,-10.71452,-7.156,145.81849,"July 15, 20",-0.07156
655,2020-07-14,145.3200073,148.3899994,145.2599945,147.9199982,138.6966858,7447100,7447100,-6.62332,-4.558,144.11556,"July 14, 20",-0.04558
656,2020-07-13,143.6100006,146.6399994,143.2799988,145.2100067,136.1556549,6951900,6951900,-7.45435,-5.191,142.02522,"July 13, 20",-0.05191
657,2020-07-10,142.75,142.8699951,141.4299927,142.3699951,133.4927216,4282400,4282400,-9.25728,-6.485,139.26424,"July 10, 20",-0.06485
658,2020-07-09,142.7599945,144.4299927,140.5800018,142.4900055,133.6052856,5738600,5738600,-9.15471,-6.413,139.53843,"July 09, 20",-0.06413
659,2020-07-08,142.8699951,143.3899994,141.6999969,143.2700043,134.3366394,6257400,6257400,-8.53336,-5.973,139.80888,"July 08, 20",-0.05973
660,2020-07-07,141.3899994,143.9700012,141.2299957,142.8500061,133.9428101,5622600,5622600,-7.44719,-5.267,139.71427,"July 07, 20",-0.05267
661,2020-07-06,142.1699982,143.7700043,141.8800049,142.9799957,134.064682,6156400,6156400,-8.10532,-5.701,139.9049,"July 06, 20",-0.05701
